result_id,evidence_layer,protocol,execution_environment,job_id,experiment_code,experiment_name,split,split_sha256,development_status,encoder,connector,seed,epoch,checkpoint,checkpoint_sha256,augmentation,original_run_name,input_mode,reason_mode,graph_source,oracle,model_arm,comparator_arm,n_questions,n_images,metric,model_score,comparator_score,effect,ci_lower,ci_upper,ci_level,bootstrap_unit,bootstrap_resamples,effect_excludes_zero,eos_rate,cap_rate,mean_generated_tokens,source_artifact,source_artifact_sha256,source_commit,notes
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,mlp256,42,5,bridge_clip_w1_bf16_v1_ep5,,none,bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,51.333333,28.7,22.633333,,,,,,,100,0,2.245333,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,96c14e93857e9e6072d4444baefd72141836ba3467d64c9909c06f3aa2eb088c,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep6::bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep6,bridge_clip_w1qf_ext7_v1_ep6,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,6,bridge_clip_w1qf_ext7_v1_ep6,,none,bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,44.8,28.7,16.1,,,,,,,100,0,2.241,outputs/eval/confirm/bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,45b9f2b25b81447e4f058f463df3ce32b702c2d7cf88d19b87a43b90bb27eb9a,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep6::bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep6,bridge_clip_w1qf_ext7_v1_ep6,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,6,bridge_clip_w1qf_ext7_v1_ep6,,none,bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,45.566667,31.466667,14.1,,,,,,,100,0,2.241,outputs/eval/confirm/bridge_clip_w1qf_ext7_v1_ep6__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,45b9f2b25b81447e4f058f463df3ce32b702c2d7cf88d19b87a43b90bb27eb9a,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep7::bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep7,bridge_clip_w1qf_ext7_v1_ep7,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,7,bridge_clip_w1qf_ext7_v1_ep7,,none,bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,44.466667,28.7,15.766667,,,,,,,100,0,2.220667,outputs/eval/confirm/bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,b0063d196a45b13f74ab9e6ae90106d968c7873414ba181836dee4d4ad0544fe,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep7::bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep7,bridge_clip_w1qf_ext7_v1_ep7,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,7,bridge_clip_w1qf_ext7_v1_ep7,,none,bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,44.466667,28.7,15.766667,,,,,,,100,0,2.220667,outputs/eval/confirm/bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,b0063d196a45b13f74ab9e6ae90106d968c7873414ba181836dee4d4ad0544fe,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep7::bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_ext7_v1_ep7,bridge_clip_w1qf_ext7_v1_ep7,confirm_3000_qids,,confirmatory_result,clip,qformer32,42,7,bridge_clip_w1qf_ext7_v1_ep7,,none,bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,45.033333,31.466667,13.566667,,,,,,,100,0,2.220667,outputs/eval/confirm/bridge_clip_w1qf_ext7_v1_ep7__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,b0063d196a45b13f74ab9e6ae90106d968c7873414ba181836dee4d4ad0544fe,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_s43_v1_ep5::bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_s43_v1_ep5,bridge_clip_w1qf_s43_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,43,5,bridge_clip_w1qf_s43_v1_ep5,,none,bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,42.533333,28.7,13.833333,,,,,,,100,0,2.230667,outputs/eval/confirm/bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,a1932606d7b6af59ec4fd98036296cc79c38532d7592cf71d920f48e6d8a581f,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_s43_v1_ep5::bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_s43_v1_ep5,bridge_clip_w1qf_s43_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,43,5,bridge_clip_w1qf_s43_v1_ep5,,none,bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,42.533333,28.7,13.833333,,,,,,,100,0,2.230667,outputs/eval/confirm/bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,a1932606d7b6af59ec4fd98036296cc79c38532d7592cf71d920f48e6d8a581f,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_s43_v1_ep5::bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_s43_v1_ep5,bridge_clip_w1qf_s43_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,43,5,bridge_clip_w1qf_s43_v1_ep5,,none,bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,42.9,31.466667,11.433333,,,,,,,100,0,2.230667,outputs/eval/confirm/bridge_clip_w1qf_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,a1932606d7b6af59ec4fd98036296cc79c38532d7592cf71d920f48e6d8a581f,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_s44_v1_ep5::bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_s44_v1_ep5,bridge_clip_w1qf_s44_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,44,5,bridge_clip_w1qf_s44_v1_ep5,,none,bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact,44.1,28.7,15.4,,,,,,,100,0,2.223,outputs/eval/confirm/bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,2c8ed5b64a6f335fadcbdee685f41da68f6d60cace003d1cf9f9203c1c4b7ae0,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_s44_v1_ep5::bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_s44_v1_ep5,bridge_clip_w1qf_s44_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,44,5,bridge_clip_w1qf_s44_v1_ep5,,none,bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,exact_full,44.1,28.7,15.4,,,,,,,100,0,2.223,outputs/eval/confirm/bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,2c8ed5b64a6f335fadcbdee685f41da68f6d60cace003d1cf9f9203c1c4b7ae0,,corrected ChatML + supervised EOS; primary metric exact_full
corrected_confirm3000:bridge_clip_w1qf_s44_v1_ep5::bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,chatml_v1_supervised_eos,cluster,,corrected_confirm3000:bridge_clip_w1qf_s44_v1_ep5,bridge_clip_w1qf_s44_v1_ep5,confirm_3000_qids,,confirmatory_result,clip,qformer32,44,5,bridge_clip_w1qf_s44_v1_ep5,,none,bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct,image_only,direct,,,bridge (vision),text-only floor,3000,3000,vqa_soft,44.6,31.466667,13.133333,,,,,,,100,0,2.223,outputs/eval/confirm/bridge_clip_w1qf_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json,2c8ed5b64a6f335fadcbdee685f41da68f6d60cace003d1cf9f9203c1c4b7ae0,,corrected ChatML + supervised EOS; primary metric exact_full
