interval_id,evidence_layer,experiment_code,split,metric,model_arm,comparator_arm,n_questions,effect,ci_lower,ci_upper,ci_level,bootstrap_unit,bootstrap_resamples,effect_excludes_zero,source_artifact
corrected_testdev:clip_mlp256_q_former32::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,CLIP: MLP256 − Q-Former32,paired within-question,12578,6.9884,6.0979,7.8788,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:clip_mlp256_q_former32::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,CLIP: MLP256 − Q-Former32,paired within-question,12578,6.9725,6.082,7.8629,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:clip_mlp256_text_only_floor::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,CLIP + MLP256 − text-only floor,paired within-question,12578,19.5898,18.588,20.5915,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:clip_q_former32_text_only_floor::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,CLIP + Q-Former32 − text-only floor,paired within-question,12578,12.6014,11.6235,13.5713,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:dinov2_i_jepa_q_former32_dinov2_i_jepa_mlp256::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,(DINOv2−I-JEPA | Q-Former32) − (DINOv2−I-JEPA | MLP256),paired within-question,12578,-2.3215,-3.4427,-1.2164,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:dinov2_i_jepa_q_former32_dinov2_i_jepa_mlp256::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,(DINOv2−I-JEPA | Q-Former32) − (DINOv2−I-JEPA | MLP256),paired within-question,12578,-2.2818,-3.4028,-1.1846,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:dinov2_mlp256_q_former32::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,DINOv2: MLP256 − Q-Former32,paired within-question,12578,5.5971,4.7144,6.4955,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:dinov2_mlp256_q_former32::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,DINOv2: MLP256 − Q-Former32,paired within-question,12578,5.5812,4.6907,6.4718,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:dinov2_mlp256_text_only_floor::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,DINOv2 + MLP256 − text-only floor,paired within-question,12578,18.1666,17.141,19.1684,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:dinov2_q_former32_text_only_floor::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,DINOv2 + Q-Former32 − text-only floor,paired within-question,12578,12.5696,11.6076,13.5236,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:i_jepa_mlp256_q_former32::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,I-JEPA: MLP256 − Q-Former32,paired within-question,12578,3.2756,2.4169,4.1183,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:i_jepa_mlp256_q_former32::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,I-JEPA: MLP256 − Q-Former32,paired within-question,12578,3.2994,2.4408,4.1501,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:i_jepa_mlp256_text_only_floor::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,I-JEPA + MLP256 − text-only floor,paired within-question,12578,14.2471,13.2612,15.2409,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:i_jepa_q_former32_text_only_floor::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,I-JEPA + Q-Former32 − text-only floor,paired within-question,12578,10.9715,10.0175,11.9017,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:mlp256_clip_dinov2::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,MLP256: CLIP − DINOv2,paired within-question,12578,1.4231,0.6519,2.2102,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:mlp256_clip_dinov2::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,MLP256: CLIP − DINOv2,paired within-question,12578,1.4072,0.6358,2.1864,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:mlp256_clip_i_jepa::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,MLP256: CLIP − I-JEPA,paired within-question,12578,5.3427,4.5317,6.1538,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:mlp256_clip_i_jepa::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,MLP256: CLIP − I-JEPA,paired within-question,12578,5.3109,4.4999,6.1218,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:mlp256_dinov2_i_jepa::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,MLP256: DINOv2 − I-JEPA,paired within-question,12578,3.9195,3.1166,4.7464,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:mlp256_dinov2_i_jepa::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,MLP256: DINOv2 − I-JEPA,paired within-question,12578,3.9036,3.1007,4.7305,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:q_former32_clip_dinov2::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,Q-Former32: CLIP − DINOv2,paired within-question,12578,0.0318,-0.7235,0.7473,95,question,10000,false,submit/eval/testdev_matrix_analysis.json
corrected_testdev:q_former32_clip_dinov2::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,Q-Former32: CLIP − DINOv2,paired within-question,12578,0.0159,-0.7394,0.7314,95,question,10000,false,submit/eval/testdev_matrix_analysis.json
corrected_testdev:q_former32_clip_i_jepa::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,Q-Former32: CLIP − I-JEPA,paired within-question,12578,1.6298,0.8507,2.4249,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:q_former32_clip_i_jepa::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,Q-Former32: CLIP − I-JEPA,paired within-question,12578,1.6378,0.8507,2.4249,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:q_former32_dinov2_i_jepa::exact_full,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,exact_full,Q-Former32: DINOv2 − I-JEPA,paired within-question,12578,1.598,0.8268,2.3692,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
corrected_testdev:q_former32_dinov2_i_jepa::official,corrected_chatml_v1_eos,corrected_testdev,testdev_12578_qids,official,Q-Former32: DINOv2 − I-JEPA,paired within-question,12578,1.6219,0.8507,2.401,95,question,10000,true,submit/eval/testdev_matrix_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_only [core]::exact_full,corrected_chatml_v1_eos,crop_stage_a:clip,core,exact_full,global_plus_relevant_crop,global_only,300,0,-4,4,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_only [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:clip,core,exact_full,global_plus_relevant_crop,global_only,300,0,-4.290429,4.026846,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_plus_irrelevant_crop [irrelevant_subset]::exact_full,corrected_chatml_v1_eos,crop_stage_a:clip,irrelevant_subset,exact_full,global_plus_relevant_crop,global_plus_irrelevant_crop,99,-1.010101,-9.090909,8.080808,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_plus_irrelevant_crop [irrelevant_subset]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:clip,irrelevant_subset,exact_full,global_plus_relevant_crop,global_plus_irrelevant_crop,99,-1.010101,-9.183673,7.142857,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_plus_wrong_crop [core]::exact_full,corrected_chatml_v1_eos,crop_stage_a:clip,core,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,300,7,2,12,95,question,10000,true,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_plus_wrong_crop [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:clip,core,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,300,7,2.020202,12,95,image_clustered,10000,true,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_plus_wrong_crop [scale_matched]::exact_full,corrected_chatml_v1_eos,crop_stage_a:clip,scale_matched,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,134,7.462687,0,14.925373,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:global_plus_relevant_crop - global_plus_wrong_crop [scale_matched]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:clip,scale_matched,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,134,7.462687,0,14.925373,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:relevant_crop_only - global_only [core]::exact_full,corrected_chatml_v1_eos,crop_stage_a:clip,core,exact_full,relevant_crop_only,global_only,300,0.333333,-4.666667,5.333333,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:clip:relevant_crop_only - global_only [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:clip,core,exact_full,relevant_crop_only,global_only,300,0.333333,-4.950905,5.387205,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_only [core]::exact_full,corrected_chatml_v1_eos,crop_stage_a:ijepa,core,exact_full,global_plus_relevant_crop,global_only,300,3,-1.333333,7.666667,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_only [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:ijepa,core,exact_full,global_plus_relevant_crop,global_only,300,3,-1.644737,7.432432,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_plus_irrelevant_crop [irrelevant_subset]::exact_full,corrected_chatml_v1_eos,crop_stage_a:ijepa,irrelevant_subset,exact_full,global_plus_relevant_crop,global_plus_irrelevant_crop,99,5.050505,-5.050505,15.151515,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_plus_irrelevant_crop [irrelevant_subset]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:ijepa,irrelevant_subset,exact_full,global_plus_relevant_crop,global_plus_irrelevant_crop,99,5.050505,-5.050505,15.151515,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_plus_wrong_crop [core]::exact_full,corrected_chatml_v1_eos,crop_stage_a:ijepa,core,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,300,5,-0.333333,10.333333,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_plus_wrong_crop [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:ijepa,core,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,300,5,-0.334448,10.367893,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_plus_wrong_crop [scale_matched]::exact_full,corrected_chatml_v1_eos,crop_stage_a:ijepa,scale_matched,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,134,4.477612,-3.731343,12.686567,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:global_plus_relevant_crop - global_plus_wrong_crop [scale_matched]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:ijepa,scale_matched,exact_full,global_plus_relevant_crop,global_plus_wrong_crop,134,4.477612,-3.759398,13.235294,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:relevant_crop_only - global_only [core]::exact_full,corrected_chatml_v1_eos,crop_stage_a:ijepa,core,exact_full,relevant_crop_only,global_only,300,-0.666667,-5.666667,4.666667,95,question,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_a:ijepa:relevant_crop_only - global_only [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_a:ijepa,core,exact_full,relevant_crop_only,global_only,300,-0.666667,-6.020067,4.636147,95,image_clustered,10000,false,outputs/crop_augment/stage_a_2291920/crop_analysis.json
crop_stage_b:adapter_correct_crop - adapter_irrelevant_crop [irrelevant_subset]::exact_full,corrected_chatml_v1_eos,crop_stage_b,irrelevant_subset,exact_full,adapter_correct_crop,adapter_irrelevant_crop,99,4.040404,0,9.090909,95,question,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_irrelevant_crop [irrelevant_subset]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,irrelevant_subset,exact_full,adapter_correct_crop,adapter_irrelevant_crop,99,4.040404,0,9.090909,95,image_clustered,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_null_visual [core]::exact_full,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,adapter_null_visual,300,1.333333,-1.666667,4.333333,95,question,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_null_visual [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,adapter_null_visual,300,1.333333,-1.655629,4.290784,95,image_clustered,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_wrong_crop [core]::exact_full,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,adapter_wrong_crop,300,-1.333333,-3.666667,1,95,question,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_wrong_crop [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,adapter_wrong_crop,300,-1.333333,-3.703704,1.006711,95,image_clustered,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_wrong_crop [scale_matched]::exact_full,corrected_chatml_v1_eos,crop_stage_b,scale_matched,exact_full,adapter_correct_crop,adapter_wrong_crop,134,1.492537,-2.238806,5.223881,95,question,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_wrong_crop [scale_matched]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,scale_matched,exact_full,adapter_correct_crop,adapter_wrong_crop,134,1.492537,-2.222222,5.223881,95,image_clustered,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_zero_gate [core]::exact_full,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,adapter_zero_gate,300,10,4.666667,15.666667,95,question,10000,true,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - adapter_zero_gate [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,adapter_zero_gate,300,10,4.40678,15.488215,95,image_clustered,10000,true,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - baseline_frozen [core]::exact_full,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,baseline_frozen,300,6.666667,1.333333,12.333333,95,question,10000,true,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_correct_crop - baseline_frozen [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_correct_crop,baseline_frozen,300,6.666667,1.320132,12.121212,95,image_clustered,10000,true,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_wrong_crop - baseline_frozen [core]::exact_full,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_wrong_crop,baseline_frozen,300,8,2.333333,13.666667,95,question,10000,true,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:adapter_wrong_crop - baseline_frozen [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,adapter_wrong_crop,baseline_frozen,300,8,2.605652,13.559322,95,image_clustered,10000,true,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:no_adapter_span - baseline_frozen [core]::exact_full,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,no_adapter_span,baseline_frozen,300,0,0,0,95,question,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
crop_stage_b:no_adapter_span - baseline_frozen [core]::exact_full::clustered,corrected_chatml_v1_eos,crop_stage_b,core,exact_full,no_adapter_span,baseline_frozen,300,0,0,0,95,image_clustered,10000,false,submit/analysis/crop_adapter_2292438_analysis.json
graph_trust_owlv2:objects_filtered-pred::exact_full,corrected_chatml_v1_eos,graph_trust_owlv2:secondary,tune_500_qids,exact_full,objects_filtered,pred,500,0,-2.4,2.4,95,question,10000,false,outputs/eval/graph_trust_2290580/graph_trust_analysis.json
graph_trust_owlv2:objects_only-pred::exact_full,corrected_chatml_v1_eos,graph_trust_owlv2:secondary,tune_500_qids,exact_full,objects_only,pred,500,-1.8,-4.4,0.6,95,question,10000,false,outputs/eval/graph_trust_2290580/graph_trust_analysis.json
graph_trust_owlv2:pred-no_graph::exact_full,corrected_chatml_v1_eos,graph_trust_owlv2:improvement,tune_500_qids,exact_full,pred,no_graph,500,2,-1.2,5.2,95,question,10000,false,outputs/eval/graph_trust_2290580/graph_trust_analysis.json
graph_trust_owlv2:pred-wrong_image::exact_full,corrected_chatml_v1_eos,graph_trust_owlv2:primary,tune_500_qids,exact_full,pred,wrong_image,500,0,-3,3,95,question,10000,false,outputs/eval/graph_trust_2290580/graph_trust_analysis.json
graph_trust_owlv2:pred_q-pred::exact_full,corrected_chatml_v1_eos,graph_trust_owlv2:secondary,tune_500_qids,exact_full,pred_q,pred,500,0.2,-3,3.4,95,question,10000,false,outputs/eval/graph_trust_2290580/graph_trust_analysis.json
graph_trust_owlv2:relations_shuffled-pred::exact_full,corrected_chatml_v1_eos,graph_trust_owlv2:secondary,tune_500_qids,exact_full,relations_shuffled,pred,500,-0.4,-2.4,1.6,95,question,10000,false,outputs/eval/graph_trust_2290580/graph_trust_analysis.json
legacy_locked2000:bridge_clip_150k_3ep::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_3ep,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-2.1,-4.3,-0.1,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_3ep::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_3ep,eval_2000_qids,vqa_soft,bridge (vision),text-only floor,2000,15.7,13.0,18.3,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_3ep_cot::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_3ep_cot,eval_2000_qids,exact,bridge + cot,bridge (baseline),2000,19.5,17.4,21.7,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_3ep_cot::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_3ep_cot,eval_2000_qids,vqa_soft,bridge + cot,bridge (baseline),2000,-3.5,-5.6,-1.4,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_3ep_scene_graph::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_3ep_scene_graph,eval_2000_qids,exact,bridge + scene_graph,bridge (baseline),2000,43.8,41.4,46.2,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_3ep_scene_graph::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_3ep_scene_graph,eval_2000_qids,vqa_soft,bridge + scene_graph,bridge (baseline),2000,26.2,23.8,28.8,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_cosine_ep1::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_cosine_ep1,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-14.2,-16.1,-12.2,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_cosine_ep1::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_cosine_ep1,eval_2000_qids,vqa_soft,bridge (vision),text-only floor,2000,12.2,9.6,14.8,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_cosine_ep2::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_cosine_ep2,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-12.1,-14.0,-10.2,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_cosine_ep2::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_cosine_ep2,eval_2000_qids,vqa_soft,bridge (vision),text-only floor,2000,16.0,13.4,18.6,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_cosine_ep3::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_cosine_ep3,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-9.1,-11.0,-7.0,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_cosine_ep3::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_cosine_ep3,eval_2000_qids,vqa_soft,bridge (vision),text-only floor,2000,16.8,14.2,19.5,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_mlp_ep1::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_mlp_ep1,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-7.8,-9.9,-5.8,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_mlp_ep1::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_mlp_ep1,eval_2000_qids,vqa_soft,bridge (vision),text-only floor,2000,14.5,11.8,17.3,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_mlp_ep2::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_mlp_ep2,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-18.6,-20.4,-16.8,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_mlp_ep2::vqa_soft,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_mlp_ep2,eval_2000_qids,vqa_soft,bridge (vision),text-only floor,2000,16.4,13.8,19.1,95,question,10000,true,outputs/eval/results_ci.csv
legacy_locked2000:bridge_clip_150k_mlp_ep3::exact,legacy_raw_prompt_no_eos,legacy_locked2000:bridge_clip_150k_mlp_ep3,eval_2000_qids,exact,bridge (vision),text-only floor,2000,-18.7,-20.5,-17.0,95,question,10000,true,outputs/eval/results_ci.csv
