result_id,evidence_layer,protocol,execution_environment,job_id,experiment_code,experiment_name,split,split_sha256,development_status,encoder,connector,seed,epoch,checkpoint,checkpoint_sha256,augmentation,original_run_name,input_mode,reason_mode,graph_source,oracle,model_arm,comparator_arm,n_questions,n_images,metric,model_score,comparator_score,effect,ci_lower,ci_upper,ci_level,bootstrap_unit,bootstrap_resamples,effect_excludes_zero,eos_rate,cap_rate,mean_generated_tokens,source_artifact,source_artifact_sha256,source_commit,notes
legacy_locked2000:bridge_clip_150k_cosine_ep3::bridge_clip_150k_cosine_ep3::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_cosine_ep3,bridge_clip_150k_cosine_ep3,eval_2000_qids,,locked_result,clip,,,3,,,none,bridge_clip_150k_cosine_ep3,,,,,bridge,text-only floor,2000,1725,vqa_soft,47.5,30.7,16.8,,,,,,,,,,outputs/eval/bridge_clip_150k_cosine_ep3_records.json,ec02079438e3d777fe74cd61b377622e81f7dbb585aeb9a038ca16f8debcf1f6,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep1::bridge_clip_150k_mlp_ep1::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep1,bridge_clip_150k_mlp_ep1,eval_2000_qids,,locked_result,clip,mlp256,,1,,,none,bridge_clip_150k_mlp_ep1,,,,,bridge,text-only floor,2000,1725,exact,11.4,19.25,-7.85,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep1_records.json,3c4db01f3c2d5b6dd58890deedaa643ff18770ad59db33b042cc28c51403e8b7,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep1::bridge_clip_150k_mlp_ep1::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep1,bridge_clip_150k_mlp_ep1,eval_2000_qids,,locked_result,clip,mlp256,,1,,,none,bridge_clip_150k_mlp_ep1,,,,,bridge,text-only floor,2000,1725,vqa_soft,45.2,30.7,14.5,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep1_records.json,3c4db01f3c2d5b6dd58890deedaa643ff18770ad59db33b042cc28c51403e8b7,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep2::bridge_clip_150k_mlp_ep2::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep2,bridge_clip_150k_mlp_ep2,eval_2000_qids,,locked_result,clip,mlp256,,2,,,none,bridge_clip_150k_mlp_ep2,,,,,bridge,text-only floor,2000,1725,exact,0.65,19.25,-18.6,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep2_records.json,8b07b7da7aed36de81ec0311308251d34732f342cd62a49fa01633d847a15707,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep2::bridge_clip_150k_mlp_ep2::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep2,bridge_clip_150k_mlp_ep2,eval_2000_qids,,locked_result,clip,mlp256,,2,,,none,bridge_clip_150k_mlp_ep2,,,,,bridge,text-only floor,2000,1725,vqa_soft,47.15,30.7,16.45,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep2_records.json,8b07b7da7aed36de81ec0311308251d34732f342cd62a49fa01633d847a15707,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3::bridge_clip_150k_mlp_ep3::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3,bridge_clip_150k_mlp_ep3,eval_2000_qids,,locked_result,clip,mlp256,,3,,,none,bridge_clip_150k_mlp_ep3,,,,,bridge,text-only floor,2000,1725,exact,0.55,19.25,-18.7,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_records.json,7277d92eec0415bd561d3ffdec5380c201e4f102d6702f52e3e39087cfaf2d02,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3::bridge_clip_150k_mlp_ep3::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3,bridge_clip_150k_mlp_ep3,eval_2000_qids,,locked_result,clip,mlp256,,3,,,none,bridge_clip_150k_mlp_ep3,,,,,bridge,text-only floor,2000,1725,vqa_soft,55.5,30.7,24.8,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_records.json,7277d92eec0415bd561d3ffdec5380c201e4f102d6702f52e3e39087cfaf2d02,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3_cot::bridge_clip_150k_mlp_ep3_cot::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3_cot,bridge_clip_150k_mlp_ep3_cot,eval_2000_qids,,locked_result,clip,mlp256,,3,,,cot,bridge_clip_150k_mlp_ep3_cot,,,,false,bridge+augmentation,bridge (unaugmented),2000,1725,exact,23.05,0.55,22.5,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_cot_records.json,d0438b40f15b33fe73dba34f7eaf49ceeda7a5239f3da8842dd54a0244026202,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3_cot::bridge_clip_150k_mlp_ep3_cot::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3_cot,bridge_clip_150k_mlp_ep3_cot,eval_2000_qids,,locked_result,clip,mlp256,,3,,,cot,bridge_clip_150k_mlp_ep3_cot,,,,false,bridge+augmentation,bridge (unaugmented),2000,1725,vqa_soft,46.75,55.5,-8.75,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_cot_records.json,d0438b40f15b33fe73dba34f7eaf49ceeda7a5239f3da8842dd54a0244026202,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph::bridge_clip_150k_mlp_ep3_scene_graph::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph,bridge_clip_150k_mlp_ep3_scene_graph,eval_2000_qids,,locked_result,clip,mlp256,,3,,,scene_graph_oracle,bridge_clip_150k_mlp_ep3_scene_graph,,,gqa_ground_truth,true,bridge+augmentation,bridge (unaugmented),2000,1725,exact,64.55,0.55,64,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_scene_graph_records.json,41236d87a782242a0de0f1ed2a48b0b22cb8710721f5754579a594d214aa98c2,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph::bridge_clip_150k_mlp_ep3_scene_graph::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph,bridge_clip_150k_mlp_ep3_scene_graph,eval_2000_qids,,locked_result,clip,mlp256,,3,,,scene_graph_oracle,bridge_clip_150k_mlp_ep3_scene_graph,,,gqa_ground_truth,true,bridge+augmentation,bridge (unaugmented),2000,1725,vqa_soft,71.7,55.5,16.2,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_scene_graph_records.json,41236d87a782242a0de0f1ed2a48b0b22cb8710721f5754579a594d214aa98c2,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph_predq::bridge_clip_150k_mlp_ep3_scene_graph_predq::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph_predq,bridge_clip_150k_mlp_ep3_scene_graph_predq,eval_2000_qids,,locked_result,clip,mlp256,,3,,,scene_graph_predicted_owlv2,bridge_clip_150k_mlp_ep3_scene_graph_predq,,,owlv2_question_conditioned,false,bridge+augmentation,bridge (unaugmented),2000,1725,exact,47,0.55,46.45,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_scene_graph_predq_records.json,67cbf8c486b5693fc34ac59730c8c9f9cf9391f795e76d80e2d6086a69bfaad3,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph_predq::bridge_clip_150k_mlp_ep3_scene_graph_predq::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_mlp_ep3_scene_graph_predq,bridge_clip_150k_mlp_ep3_scene_graph_predq,eval_2000_qids,,locked_result,clip,mlp256,,3,,,scene_graph_predicted_owlv2,bridge_clip_150k_mlp_ep3_scene_graph_predq,,,owlv2_question_conditioned,false,bridge+augmentation,bridge (unaugmented),2000,1725,vqa_soft,50,55.5,-5.5,,,,,,,,,,outputs/eval/bridge_clip_150k_mlp_ep3_scene_graph_predq_records.json,67cbf8c486b5693fc34ac59730c8c9f9cf9391f795e76d80e2d6086a69bfaad3,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_nocls_ep1::bridge_clip_150k_nocls_ep1::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_nocls_ep1,bridge_clip_150k_nocls_ep1,eval_2000_qids,,locked_result,clip,,,1,,,none,bridge_clip_150k_nocls_ep1,,,,,bridge,text-only floor,2000,1725,exact,4.95,19.25,-14.3,,,,,,,,,,outputs/eval/bridge_clip_150k_nocls_ep1_records.json,97354839ade13ddcbcb37e4a97bca9c3c534a73f4c33de492925854b5c1be457,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_nocls_ep1::bridge_clip_150k_nocls_ep1::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_nocls_ep1,bridge_clip_150k_nocls_ep1,eval_2000_qids,,locked_result,clip,,,1,,,none,bridge_clip_150k_nocls_ep1,,,,,bridge,text-only floor,2000,1725,vqa_soft,43.35,30.7,12.65,,,,,,,,,,outputs/eval/bridge_clip_150k_nocls_ep1_records.json,97354839ade13ddcbcb37e4a97bca9c3c534a73f4c33de492925854b5c1be457,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_nocls_ep2::bridge_clip_150k_nocls_ep2::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_nocls_ep2,bridge_clip_150k_nocls_ep2,eval_2000_qids,,locked_result,clip,,,2,,,none,bridge_clip_150k_nocls_ep2,,,,,bridge,text-only floor,2000,1725,exact,6.5,19.25,-12.75,,,,,,,,,,outputs/eval/bridge_clip_150k_nocls_ep2_records.json,72f32203a608ada2314e880ebde3fbc0714e2c056403648f7320a043aa8f5c47,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_nocls_ep2::bridge_clip_150k_nocls_ep2::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_nocls_ep2,bridge_clip_150k_nocls_ep2,eval_2000_qids,,locked_result,clip,,,2,,,none,bridge_clip_150k_nocls_ep2,,,,,bridge,text-only floor,2000,1725,vqa_soft,44.9,30.7,14.2,,,,,,,,,,outputs/eval/bridge_clip_150k_nocls_ep2_records.json,72f32203a608ada2314e880ebde3fbc0714e2c056403648f7320a043aa8f5c47,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_nocls_ep3::bridge_clip_150k_nocls_ep3::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_nocls_ep3,bridge_clip_150k_nocls_ep3,eval_2000_qids,,locked_result,clip,,,3,,,none,bridge_clip_150k_nocls_ep3,,,,,bridge,text-only floor,2000,1725,exact,8.1,19.25,-11.15,,,,,,,,,,outputs/eval/bridge_clip_150k_nocls_ep3_records.json,7dcca576f169d74b534319625717a7aee579ab16ae7c426baa1cdcd4364a0999,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_nocls_ep3::bridge_clip_150k_nocls_ep3::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_nocls_ep3,bridge_clip_150k_nocls_ep3,eval_2000_qids,,locked_result,clip,,,3,,,none,bridge_clip_150k_nocls_ep3,,,,,bridge,text-only floor,2000,1725,vqa_soft,46,30.7,15.3,,,,,,,,,,outputs/eval/bridge_clip_150k_nocls_ep3_records.json,7dcca576f169d74b534319625717a7aee579ab16ae7c426baa1cdcd4364a0999,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_pool_ep1::bridge_clip_150k_pool_ep1::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_pool_ep1,bridge_clip_150k_pool_ep1,eval_2000_qids,,locked_result,clip,pool32,,1,,,none,bridge_clip_150k_pool_ep1,,,,,bridge,text-only floor,2000,1725,exact,0,19.25,-19.25,,,,,,,,,,outputs/eval/bridge_clip_150k_pool_ep1_records.json,8999d8794e932bd3c231e4d03727400860500a3aa5a40a97b67045412e83ea61,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_pool_ep1::bridge_clip_150k_pool_ep1::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_pool_ep1,bridge_clip_150k_pool_ep1,eval_2000_qids,,locked_result,clip,pool32,,1,,,none,bridge_clip_150k_pool_ep1,,,,,bridge,text-only floor,2000,1725,vqa_soft,44.6,30.7,13.9,,,,,,,,,,outputs/eval/bridge_clip_150k_pool_ep1_records.json,8999d8794e932bd3c231e4d03727400860500a3aa5a40a97b67045412e83ea61,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_pool_ep2::bridge_clip_150k_pool_ep2::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_pool_ep2,bridge_clip_150k_pool_ep2,eval_2000_qids,,locked_result,clip,pool32,,2,,,none,bridge_clip_150k_pool_ep2,,,,,bridge,text-only floor,2000,1725,exact,5,19.25,-14.25,,,,,,,,,,outputs/eval/bridge_clip_150k_pool_ep2_records.json,f122c07e2f9a679104b00c7ea80302c3831da6bb8deef9a4a2eccf1fe6c4e8e1,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_pool_ep2::bridge_clip_150k_pool_ep2::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_pool_ep2,bridge_clip_150k_pool_ep2,eval_2000_qids,,locked_result,clip,pool32,,2,,,none,bridge_clip_150k_pool_ep2,,,,,bridge,text-only floor,2000,1725,vqa_soft,49.9,30.7,19.2,,,,,,,,,,outputs/eval/bridge_clip_150k_pool_ep2_records.json,f122c07e2f9a679104b00c7ea80302c3831da6bb8deef9a4a2eccf1fe6c4e8e1,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_pool_ep3::bridge_clip_150k_pool_ep3::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_pool_ep3,bridge_clip_150k_pool_ep3,eval_2000_qids,,locked_result,clip,pool32,,3,,,none,bridge_clip_150k_pool_ep3,,,,,bridge,text-only floor,2000,1725,exact,3,19.25,-16.25,,,,,,,,,,outputs/eval/bridge_clip_150k_pool_ep3_records.json,6e86b4588d2426c89d3dde3d18de17214b0fc1db467cadafe29275be5787a3ee,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_150k_pool_ep3::bridge_clip_150k_pool_ep3::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_150k_pool_ep3,bridge_clip_150k_pool_ep3,eval_2000_qids,,locked_result,clip,pool32,,3,,,none,bridge_clip_150k_pool_ep3,,,,,bridge,text-only floor,2000,1725,vqa_soft,51.3,30.7,20.6,,,,,,,,,,outputs/eval/bridge_clip_150k_pool_ep3_records.json,6e86b4588d2426c89d3dde3d18de17214b0fc1db467cadafe29275be5787a3ee,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_500k_ep1::bridge_clip_500k_ep1::exact,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_500k_ep1,bridge_clip_500k_ep1,eval_2000_qids,,locked_result,clip,,,1,,,none,bridge_clip_500k_ep1,,,,,bridge,text-only floor,2000,1725,exact,5.15,19.25,-14.1,,,,,,,,,,outputs/eval/bridge_clip_500k_ep1_records.json,5795f373e504a814f6845c9c7a8b570e987a364e4d6c7896b83562326a894809,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
legacy_locked2000:bridge_clip_500k_ep1::bridge_clip_500k_ep1::vqa_soft,legacy_raw_prompt_no_eos,raw_prompt_no_eos,local,,legacy_locked2000:bridge_clip_500k_ep1,bridge_clip_500k_ep1,eval_2000_qids,,locked_result,clip,,,1,,,none,bridge_clip_500k_ep1,,,,,bridge,text-only floor,2000,1725,vqa_soft,37.9,30.7,7.2,,,,,,,,,,outputs/eval/bridge_clip_500k_ep1_records.json,5795f373e504a814f6845c9c7a8b570e987a364e4d6c7896b83562326a894809,,"legacy raw-prompt protocol: the answer span was never trained to stop, so exact is a cap artefact and vqa_soft was the reported metric"
