result_id,evidence_layer,experiment_code,split,encoder,connector,augmentation,category,n,metric,model_score,comparator_score,effect,source_artifact
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,vqa_soft,45.833333,39.583333,6.25,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,vqa_soft,63.157895,50.37594,12.781955,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,vqa_soft,52.774869,30.680628,22.094241,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5::bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_bf16_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,vqa_soft,43.374643,15.34795,28.026692,outputs/eval/confirm/bridge_clip_w1_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,exact,63.858696,49.184783,14.673913,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,exact,50,35.416667,14.583333,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,exact,58.834586,41.729323,17.105263,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,exact,51.099476,28.376963,22.722513,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,exact,43.469971,14.585319,28.884652,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,exact_full,63.858696,49.184783,14.673913,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,exact_full,50,35.416667,14.583333,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,exact_full,58.834586,41.729323,17.105263,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,exact_full,51.099476,28.376963,22.722513,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,exact_full,43.469971,14.585319,28.884652,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,vqa_soft,63.858696,50,13.858696,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,vqa_soft,50,39.583333,10.416667,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,vqa_soft,58.834586,50.37594,8.458647,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,vqa_soft,52.146597,30.680628,21.465969,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s43_v1_ep5::bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s43_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,vqa_soft,44.613918,15.34795,29.265968,outputs/eval/confirm/bridge_clip_w1_s43_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,exact,60.597826,49.184783,11.413043,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,exact,45.833333,35.416667,10.416667,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,exact,58.834586,41.729323,17.105263,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,exact,52.984293,28.376963,24.60733,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,exact,41.658723,14.585319,27.073403,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,exact_full,60.597826,49.184783,11.413043,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,exact_full,45.833333,35.416667,10.416667,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,exact_full,58.834586,41.729323,17.105263,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,exact_full,52.984293,28.376963,24.60733,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,exact_full,41.658723,14.585319,27.073403,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,choose,368,vqa_soft,60.869565,50,10.869565,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,compare,96,vqa_soft,45.833333,39.583333,6.25,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,exist,532,vqa_soft,58.834586,50.37594,8.458647,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,other,955,vqa_soft,54.136126,30.680628,23.455497,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1_s44_v1_ep5::bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1_s44_v1_ep5,confirm_3000_qids,clip,mlp256,none,relate,1049,vqa_soft,42.993327,15.34795,27.645377,outputs/eval/confirm/bridge_clip_w1_s44_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,choose,368,exact,55.706522,49.184783,6.521739,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,compare,96,exact,44.791667,35.416667,9.375,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,exist,532,exact,54.135338,41.729323,12.406015,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,other,955,exact,42.722513,28.376963,14.34555,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,relate,1049,exact,36.701621,14.585319,22.116301,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,choose,368,exact_full,55.706522,49.184783,6.521739,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,compare,96,exact_full,44.791667,35.416667,9.375,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,exist,532,exact_full,54.135338,41.729323,12.406015,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,other,955,exact_full,42.722513,28.376963,14.34555,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::exact_full,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,relate,1049,exact_full,36.701621,14.585319,22.116301,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5::bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct::vqa_soft,corrected_chatml_v1_eos,corrected_confirm3000:bridge_clip_w1pool_bf16_v1_ep5,confirm_3000_qids,clip,pool32,none,choose,368,vqa_soft,55.978261,50,5.978261,outputs/eval/confirm/bridge_clip_w1pool_bf16_v1_ep5__corrected_chatml_v1_eos__confirm_3000_qids__image_only__direct_records.json
